Artist ID,Name,Nationality,Gender,Birth Year,Death Year
131,Giacchino Altobelli,Italian,Male,1814.0,Unknown
132,John Altoon,American,Male,1925.0,1969.0
135,Manuel Álvarez Bravo,Mexican,Male,1902.0,2002.0
136,Dag Alveng,Norwegian,Male,1953.0,Unknown
137,Getulio Alviani,Italian,Male,1939.0,Unknown
138,Edmond-François Aman Jean,French,Male,1858.0,1936.0
139,Kunihiro Amano,Japanese,Male,Unknown,Unknown
140,Jim Amaral,American,Male,1933.0,Unknown
141,Emilio Ambasz,Argentine,Male,1943.0,Unknown
142,M. Ameen,Nationality unknown,Gender unknown,Unknown,Unknown
143,Irving Amen,American,Male,1918.0,2011.0
144,Woody van Amen,Dutch,Male,1936.0,Unknown
145,Gregory Amenoff,American,Male,1948.0,Unknown
148,Florencia de Amesti,Chilean,Female,1925.0,2006.0
149,Cuno Amiet,Swiss,Male,1868.0,1961.0
150,Francisco Amighetti Ruiz,Costa Rican,Male,1907.0,1998.0
152,Ralph Ammirati,American,Male,Unknown,Unknown
153,Emma Amos,American,Female,1938.0,Unknown
154,Mauricio Amster Cats,Chilean,Male,1907.0,1980.0
155,William Anastasi,American,Male,1933.0,Unknown
157,Stephen Ancona,American,Male,1932.0,Unknown
158,Jiþi Anderle,Czech,Male,1936.0,Unknown
159,Gunnar Aagaard Andersen,Danish,Male,1919.0,1982.0
160,Karin Schou Andersen,Danish,Female,1953.0,Unknown
161,Clarence William Anderson,American,Male,1891.0,1971.0
162,Carl Anderson,American,Male,1903.0,1989.0
163,Dennis Anderson,American,Male,1948.0,Unknown
164,Jeremy Anderson,American,Male,1921.0,1982.0
165,James Anderson,British,Male,1813.0,1877.0
166,Jerry Anderson,American,Male,1938.0,Unknown
167,John Anderson,British,Male,1928.0,Unknown
168,Neil Anderson,American,Male,1933.0,Unknown
169,Paul L. Anderson,American,Male,1880.0,1956.0
170,Monika Andersson,Swedish,Female,1957.0,Unknown
172,Joe Andoe,American,Male,1955.0,Unknown
173,Farnese de Andrade-Neto,Brazilian,Male,1926.0,1996.0
174,Carl Andre,American,Male,1935.0,Unknown
175,Pat Andrea,Dutch,Male,1942.0,Unknown
176,A. Andreas,French,Gender unknown,Unknown,Unknown
177,Henning Andreasen,Danish,Male,1923.0,Unknown
178,Laura Andreson,American,Female,1902.0,1999.0
179,Mariano Andreù,Spanish,Male,1901.0,Unknown
180,Benny Andrews,American,Male,1930.0,2006.0
181,Emmy Andriesse,Dutch,Female,1914.0,1953.0
182,Claudia Andujar,American,Female,1931.0,Unknown
183,Manuel Angeles Ortiz,Spanish,Male,1895.0,1984.0
184,Ludwig Angerer,Austrian,Male,1827.0,1879.0
185,Bruce Angrave,British,Male,Unknown,Unknown
186,Raúl Anguiano,Mexican,Male,1915.0,2006.0
188,Sibyl Anikeef,American,Female,1896.0,1996.0
189,James Craig Annan,British,Male,1864.0,1946.0
190,Thomas Annan,British,Male,1829.0,1887.0
193,David Annesley,British,Male,1936.0,Unknown
194,Horst Antes,German,Male,1936.0,Unknown
195,William Anthony,American,Male,1934.0,Unknown
196,Stephen Antonakos,American,Male,1926.0,2013.0
198,Garo Antreasian,American,Male,1922.0,Unknown
199,Nemesio Antúnez,Chilean,Male,1918.0,1993.0
200,Richard Anuszkiewicz,American,Male,1930.0,Unknown
201,Aoki Toshio,Nationality unknown,Gender unknown,Unknown,Unknown
202,Carl Apfelschnitt,American,Male,1948.0,Unknown
203,Karel Appel,Dutch,Male,1921.0,2006.0
204,Leon Appelbaum,American,Male,Unknown,Unknown
205,Ida Applebroog,American,Female,1929.0,Unknown
207,Shusaku Arakawa,American,Male,1936.0,2010.0
208,Diane Arbus,American,Female,1923.0,1971.0
209,Aleksandr Archipenko,American,Male,1887.0,1964.0
211,Mordecai Ardon,Israeli,Male,1896.0,1992.0
212,Luis Arenal,Mexican,Male,1909.0,1985.0
214,Egmont Arens,American,Male,1888.0,1966.0
215,Tamotsu Arikawa,Japanese,Male,Unknown,Unknown
216,Avigdor Arikha,Romanian,Male,1929.0,2010.0
217,Gonzalo Ariza,Colombian,Male,1912.0,1995.0
218,Alda Maria Armagni,Argentine,Female,Unknown,Unknown
219,Siah Armajani,American,Male,1939.0,Unknown
220,Arman,American,Male,1928.0,2005.0
221,Armando,Dutch,Male,1929.0,Unknown
222,F. Armbruster,Nationality unknown,Gender unknown,Unknown,Unknown
224,Kenneth Armitage,British,Male,1916.0,2002.0
225,John Taylor Arms,American,Male,1887.0,1953.0
226,John Armstrong,British,Male,1893.0,1973.0
227,François Arnal,French,Male,1924.0,2012.0
228,Arndt,German,Gender unknown,1898.0,1976.0
229,Eugène Atget,French,Male,1857.0,1927.0
230,John Atherton,American,Male,1900.0,1952.0
231,Anna Atkins,British,Female,1797.0,1871.0
232,Conrad Atkinson,British,Male,1940.0,Unknown
233,Lawrence Atkinson,British,Male,1873.0,1931.0
234,Terry Atkinson,British,Male,1939.0,Unknown
235,Jean-Michel Atlan,French,Male,1913.0,1960.0
